                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5096,                 4.7376,                 1.2092,                      0,                      0,                      0,                      0,                 1.0453,                 4.1932,                0.91395,             0.00012221,             0.00012221,             0.00012221
                      2,                 1.2332,                 3.0811,                0.94023,                0.00689,                0.52668,                0.30573,                0.20227,                 1.1082,                 3.7147,                0.90743,             0.00025452,             0.00025452,             0.00025452
                      3,                 1.1261,                 1.8427,                0.94498,                0.00881,                0.66258,                0.46265,                0.30244,                 1.1115,                 3.4029,                0.93261,             0.00038577,             0.00038577,             0.00038577
                      4,                 1.1152,                  1.425,                0.94571,                0.00682,                0.39832,                0.34433,                0.22972,                 1.1043,                   3.37,                0.95659,             0.00051597,             0.00051597,             0.00051597
                      5,                 1.0973,                 1.2147,                0.97181,                0.00993,                0.65896,                0.58309,                0.43264,                 0.9854,                 3.1178,                0.93672,             0.00064511,             0.00064511,             0.00064511
                      6,                 1.0098,                 0.9858,                0.91506,                0.99843,                0.21818,                0.89307,                0.62856,                 1.0379,                 2.4871,                0.97525,             0.00077319,             0.00077319,             0.00077319
                      7,                 1.0282,                 0.9917,                0.94566,                0.99202,                0.66569,                0.93373,                0.62655,                 1.0762,                 1.8351,                 1.0037,             0.00090022,             0.00090022,             0.00090022
                      8,                 1.0174,                0.99501,                0.92252,                0.95915,                 0.8273,                0.96809,                0.68183,                 1.0071,                 1.7127,                0.97624,              0.0010262,              0.0010262,              0.0010262
                      9,                 1.0567,                 1.0627,                0.99879,                0.96543,                0.92657,                0.98439,                0.69263,                0.97199,                  1.154,                0.96753,              0.0010758,              0.0010758,              0.0010758
                     10,                 1.0415,                0.89247,                0.94941,                0.96217,                0.96597,                0.98272,                0.68018,                 1.0736,                0.84113,                 1.0091,              0.0010714,              0.0010714,              0.0010714
                     11,                0.99484,                0.84375,                0.92336,                0.94394,                0.96311,                0.97923,                0.69986,                0.94614,                0.78071,                 0.9436,               0.001067,               0.001067,               0.001067
                     12,                0.98061,                0.82711,                0.91643,                0.93802,                0.94518,                0.98341,                0.70067,                0.99853,                0.62749,                0.96483,              0.0010626,              0.0010626,              0.0010626
                     13,                 1.0239,                0.85214,                0.92404,                0.94966,                 0.9865,                0.98464,                0.72102,                 0.9426,                0.58542,                0.94542,              0.0010582,              0.0010582,              0.0010582
                     14,                0.98923,                0.86154,                0.94114,                0.94559,                0.98959,                0.98457,                0.71532,                0.94961,                0.65771,                0.94211,              0.0010538,              0.0010538,              0.0010538
                     15,                  1.016,                0.82924,                0.93412,                0.97042,                0.95005,                0.98092,                0.70303,                0.96923,                 0.5974,                0.94409,              0.0010494,              0.0010494,              0.0010494
                     16,                0.98524,                0.82415,                0.92711,                0.93491,                 0.9496,                 0.9425,                0.63155,                 1.0221,                0.59263,                0.97341,               0.001045,               0.001045,               0.001045
                     17,                0.99035,                0.77819,                 0.9281,                0.97166,                0.98154,                0.98778,                0.71691,                 0.9837,                0.56723,                0.95737,              0.0010406,              0.0010406,              0.0010406
                     18,                0.96927,                0.79014,                0.93527,                0.97059,                0.98636,                0.98737,                0.72039,                0.97862,                 0.5463,                0.94938,              0.0010362,              0.0010362,              0.0010362
                     19,                0.94521,                0.73845,                0.91501,                0.96111,                0.98201,                0.98057,                0.71607,                0.95753,                0.53003,                0.94403,              0.0010318,              0.0010318,              0.0010318
                     20,                0.94174,                0.67493,                0.92934,                0.96839,                0.98815,                0.98959,                0.73811,                0.91965,                0.50929,                0.92619,              0.0010274,              0.0010274,              0.0010274
                     21,                0.98617,                0.71871,                0.91225,                0.96892,                 0.9779,                0.99062,                0.71854,                  0.968,                0.57048,                0.94745,               0.001023,               0.001023,               0.001023
                     22,                 0.9842,                0.73083,                0.93661,                0.96867,                0.98898,                0.99085,                0.73402,                0.92214,                0.50364,                0.93485,              0.0010186,              0.0010186,              0.0010186
                     23,                0.94378,                0.70785,                0.92793,                0.97077,                0.99025,                0.99157,                0.72646,                0.96006,                 0.5433,                0.94572,              0.0010142,              0.0010142,              0.0010142
                     24,                0.92302,                0.68714,                0.91565,                0.96363,                0.99084,                 0.9881,                0.73374,                 0.9235,                0.53423,                0.93114,              0.0010098,              0.0010098,              0.0010098
                     25,                 0.9502,                0.70122,                0.92453,                0.97391,                 0.9887,                0.99001,                0.74682,                0.94064,                0.51544,                0.93824,              0.0010054,              0.0010054,              0.0010054
                     26,                0.99243,                0.73632,                 0.9244,                0.97441,                0.99118,                0.99152,                0.73312,                0.95535,                0.52355,                 0.9532,               0.001001,               0.001001,               0.001001
                     27,                0.92407,                0.66186,                0.90987,                0.97072,                0.99107,                0.99031,                0.74405,                0.90269,                0.50085,                0.92811,             0.00099661,             0.00099661,             0.00099661
